Place,Type_of_Crime,Year
Teynampet,Harassment / Cyber‑crime,2022
Sholinganallur,Theft / Robbery,2024
Porur,Assault / Attack,2024
Perambur,Other Crime,2024
Besant Nagar,Chain Snatching / Theft,2026
Guindy,Murder,2024
Porur,Theft / Robbery,2023
Thiruvanmiyur,Rape / Sexual Assault,2025
Teynampet,Harassment / Cyber‑crime,2021
Ashok Nagar,Chain Snatching / Theft,2023
Tambaram,Theft / Robbery,2022
Chetpet,Assault / Attack,2023
Besant Nagar,Chain Snatching / Theft,2025
Besant Nagar,Harassment / Cyber‑crime,2023
Chepauk,Assault / Attack,2025
Thiruvanmiyur,Assault / Attack,2024
Nungambakkam,Assault / Attack,2022
Guindy,Theft / Robbery,2025
Chepauk,Assault / Attack,2022
Mylapore,Harassment / Cyber‑crime,2022
Royapettah,Chain Snatching / Theft,2024
Thiruvanmiyur,Harassment / Cyber‑crime,2022
Egmore,Kidnapping / Abduction,2020
Chepauk,Theft / Robbery,2024
Anna Nagar,Assault / Attack,2024
Urapakkam,Murder,2023
Velachery,Theft / Robbery,2026
Egmore,Harassment / Cyber‑crime,2024
Medavakkam,Other Crime,2025
Thiruvanmiyur,Rape / Sexual Assault,2021
T Nagar,Assault / Attack,2024
Anna Nagar,Chain Snatching / Theft,2025
Ashok Nagar,Theft / Robbery,2024
Royapettah,Assault / Attack,2025
Porur,Harassment / Cyber‑crime,2023
Anna Nagar,Harassment / Cyber‑crime,2020
Vadapalani,Theft / Robbery,2023
Chromepet,Theft / Robbery,2023
Alandur,Kidnapping / Abduction,2025
Alandur,Assault / Attack,2022
Kodambakkam,Murder,2026
Medavakkam,Kidnapping / Abduction,2026
Medavakkam,Murder,2022
Saidapet,Harassment / Cyber‑crime,2022
Perambur,Theft / Robbery,2025
Urapakkam,Other Crime,2026
Urapakkam,Theft / Robbery,2023
Perambur,Theft / Robbery,2022
Urapakkam,Rape / Sexual Assault,2024
Tambaram,Theft / Robbery,2024
Anna Nagar,Chain Snatching / Theft,2022
Chetpet,Other Crime,2025
Sholinganallur,Theft / Robbery,2020
Vadapalani,Assault / Attack,2020
Mylapore,Harassment / Cyber‑crime,2023
Adyar,Chain Snatching / Theft,2023
Tambaram,Assault / Attack,2022
Teynampet,Theft / Robbery,2023
Thiruvanmiyur,Assault / Attack,2022
Mambalam,Harassment / Cyber‑crime,2021
Teynampet,Murder,2022
Pallavaram,Harassment / Cyber‑crime,2026
Nungambakkam,Theft / Robbery,2023
Vadapalani,Kidnapping / Abduction,2023
Medavakkam,Rape / Sexual Assault,2024
Purasawalkam,Assault / Attack,2026
Pallavaram,Assault / Attack,2022
Ashok Nagar,Harassment / Cyber‑crime,2024
Mambalam,Rape / Sexual Assault,2025
Ashok Nagar,Assault / Attack,2024
Thiruvanmiyur,Assault / Attack,2020
Egmore,Assault / Attack,2024
Sholinganallur,Harassment / Cyber‑crime,2020
Medavakkam,Harassment / Cyber‑crime,2024
Perambur,Chain Snatching / Theft,2025
Medavakkam,Theft / Robbery,2022
Teynampet,Chain Snatching / Theft,2025
Anna Nagar,Assault / Attack,2020
Porur,Rape / Sexual Assault,2025
Guindy,Rape / Sexual Assault,2023
Perambur,Theft / Robbery,2022
Mylapore,Kidnapping / Abduction,2021
Purasawalkam,Harassment / Cyber‑crime,2026
Chromepet,Kidnapping / Abduction,2020
Nungambakkam,Assault / Attack,2021
Pallavaram,Assault / Attack,2022
Guindy,Rape / Sexual Assault,2024
Nungambakkam,Theft / Robbery,2024
Egmore,Assault / Attack,2021
Urapakkam,Rape / Sexual Assault,2022
Velachery,Theft / Robbery,2022
Royapettah,Assault / Attack,2022
Kodambakkam,Harassment / Cyber‑crime,2023
Nungambakkam,Other Crime,2025
Royapettah,Chain Snatching / Theft,2022
Porur,Harassment / Cyber‑crime,2023
Pallavaram,Assault / Attack,2023
Ashok Nagar,Harassment / Cyber‑crime,2026
Anna Nagar,Kidnapping / Abduction,2026
Egmore,Rape / Sexual Assault,2025
Kodambakkam,Assault / Attack,2022
Urapakkam,Chain Snatching / Theft,2020
Nungambakkam,Theft / Robbery,2022
Purasawalkam,Assault / Attack,2022
Saidapet,Assault / Attack,2024
Perambur,Theft / Robbery,2025
Guindy,Theft / Robbery,2025
Purasawalkam,Theft / Robbery,2025
Chetpet,Murder,2023
Medavakkam,Murder,2024
Vadapalani,Chain Snatching / Theft,2022
Urapakkam,Theft / Robbery,2020
Guindy,Assault / Attack,2025
Thiruvanmiyur,Theft / Robbery,2020
Saidapet,Chain Snatching / Theft,2023
Koyambedu,Theft / Robbery,2022
Pallavaram,Assault / Attack,2024
Perambur,Chain Snatching / Theft,2025
Thiruvanmiyur,Chain Snatching / Theft,2022
Chepauk,Theft / Robbery,2025
Ashok Nagar,Chain Snatching / Theft,2022
Vadapalani,Assault / Attack,2023
Medavakkam,Assault / Attack,2025
Medavakkam,Rape / Sexual Assault,2024
Medavakkam,Rape / Sexual Assault,2026
Koyambedu,Harassment / Cyber‑crime,2022
Mambalam,Assault / Attack,2024
Porur,Assault / Attack,2024
Perambur,Harassment / Cyber‑crime,2026
Koyambedu,Kidnapping / Abduction,2021
T Nagar,Theft / Robbery,2025
